X,Y,Z,lon,lat,ave_ppt_mm
-89.567,30.98,0,-89.566999999999993,30.980000000000000,0.292500000000000
-89.556,31.013,0,-89.555999999999997,31.013000000000002,0.276666666666667
-89.545,31.047,0,-89.545000000000002,31.047000000000001,0.286666666666667
-89.55,30.903,0,-89.549999999999997,30.902999999999999,0.323750000000000
-89.539,30.937,0,-89.539000000000001,30.937000000000001,0.271250000000000
-89.528,30.97,0,-89.528000000000006,30.969999999999999,0.260833333333333
-89.517,31.004,0,-89.516999999999996,31.004000000000001,0.239583333333333
-89.521,30.861,0,-89.521000000000001,30.861000000000001,0.239583333333333
-89.511,30.894,0,-89.510999999999996,30.893999999999998,0.229583333333333
-89.5,30.928,0,-89.500000000000000,30.928000000000001,0.182500000000000
-89.489,30.961,0,-89.489000000000004,30.960999999999999,0.203333333333333
-89.601,30.484,0,-89.600999999999999,30.484000000000002,0.115000000000000
-89.59,30.517,0,-89.590000000000003,30.516999999999999,0.161666666666667
-89.579,30.551,0,-89.578999999999994,30.550999999999998,0.214166666666667
-89.568,30.584,0,-89.567999999999998,30.584000000000000,0.224166666666667
-89.493,30.818,0,-89.492999999999995,30.818000000000001,0.255416666666667
-89.482,30.851,0,-89.481999999999999,30.850999999999999,0.250833333333333
-89.472,30.885,0,-89.471999999999994,30.885000000000002,0.245000000000000
-89.461,30.918,0,-89.460999999999999,30.917999999999999,0.198333333333333
-89.604,30.341,0,-89.603999999999999,30.341000000000001,0.026250000000000
-89.583,30.408,0,-89.582999999999998,30.408000000000001,0.172083333333333
-89.573,30.441,0,-89.572999999999993,30.440999999999999,0.208750000000000
-89.562,30.475,0,-89.561999999999998,30.475000000000001,0.208333333333333
-89.551,30.508,0,-89.551000000000002,30.507999999999999,0.224583333333333
-89.54,30.541,0,-89.540000000000006,30.541000000000000,0.271250000000000
-89.53,30.575,0,-89.530000000000001,30.574999999999999,0.286666666666667
-89.519,30.608,0,-89.519000000000005,30.608000000000001,0.307916666666667
-89.508,30.642,0,-89.507999999999996,30.641999999999999,0.349583333333333
-89.497,30.675,0,-89.497000000000000,30.675000000000001,0.333750000000000
-89.487,30.708,0,-89.486999999999995,30.707999999999998,0.312500000000000
-89.476,30.742,0,-89.475999999999999,30.742000000000001,0.297500000000000
-89.465,30.775,0,-89.465000000000003,30.774999999999999,0.240000000000000
-89.454,30.809,0,-89.453999999999994,30.809000000000001,0.219166666666667
-89.443,30.842,0,-89.442999999999998,30.841999999999999,0.177500000000000
-89.433,30.876,0,-89.433000000000007,30.876000000000001,0.135833333333333
-89.422,30.909,0,-89.421999999999997,30.908999999999999,0.141250000000000
-89.566,30.332,0,-89.566000000000003,30.332000000000001,0.187500000000000
-89.555,30.366,0,-89.555000000000007,30.366000000000000,0.240000000000000
-89.545,30.399,0,-89.545000000000002,30.399000000000001,0.245416666666667
-89.534,30.432,0,-89.534000000000006,30.431999999999999,0.260833333333333
-89.523,30.465,0,-89.522999999999996,30.465000000000000,0.312916666666667
-89.512,30.499,0,-89.512000000000000,30.498999999999999,0.344166666666667
-89.502,30.532,0,-89.501999999999995,30.532000000000000,0.333750000000000
-89.491,30.566,0,-89.491000000000000,30.565999999999999,0.349583333333333
-89.48,30.599,0,-89.480000000000004,30.599000000000000,0.318333333333333
-89.469,30.632,0,-89.468999999999994,30.632000000000001,0.312916666666667
-89.459,30.666,0,-89.459000000000003,30.666000000000000,0.307916666666667
-89.448,30.699,0,-89.447999999999993,30.699000000000002,0.292083333333333
-89.437,30.732,0,-89.436999999999998,30.731999999999999,0.219166666666667
-89.426,30.766,0,-89.426000000000002,30.765999999999998,0.177916666666667
-89.415,30.799,0,-89.415000000000006,30.798999999999999,0.141250000000000
-89.404,30.833,0,-89.403999999999996,30.832999999999998,0.140833333333333
-89.394,30.866,0,-89.394000000000005,30.866000000000000,0.099166666666667
-89.383,30.9,0,-89.382999999999996,30.899999999999999,0.161666666666667
-89.538,30.29,0,-89.537999999999997,30.289999999999999,0.234583333333333
-89.527,30.323,0,-89.527000000000001,30.323000000000000,0.287500000000000
-89.517,30.356,0,-89.516999999999996,30.356000000000002,0.297083333333333
-89.506,30.39,0,-89.506000000000000,30.390000000000001,0.328333333333333
-89.495,30.423,0,-89.495000000000005,30.422999999999998,0.344166666666667
-89.484,30.456,0,-89.483999999999995,30.456000000000000,0.260416666666667
-89.474,30.49,0,-89.474000000000004,30.489999999999998,0.235000000000000
-89.463,30.523,0,-89.462999999999994,30.523000000000000,0.255416666666667
-89.452,30.556,0,-89.451999999999998,30.556000000000001,0.213750000000000
-89.441,30.59,0,-89.441000000000003,30.590000000000000,0.203333333333333
-89.431,30.623,0,-89.430999999999997,30.623000000000001,0.172500000000000
-89.42,30.656,0,-89.420000000000002,30.655999999999999,0.177500000000000
-89.409,30.69,0,-89.409000000000006,30.690000000000001,0.172500000000000
-89.398,30.723,0,-89.397999999999996,30.722999999999999,0.172500000000000
-89.387,30.757,0,-89.387000000000000,30.757000000000001,0.151250000000000
-89.376,30.79,0,-89.376000000000005,30.789999999999999,0.156666666666667
-89.366,30.823,0,-89.366000000000000,30.823000000000000,0.141250000000000
-89.355,30.857,0,-89.355000000000004,30.856999999999999,0.083750000000000
-89.499,30.281,0,-89.498999999999995,30.280999999999999,0.333333333333333
-89.489,30.314,0,-89.489000000000004,30.314000000000000,0.391250000000000
-89.478,30.347,0,-89.477999999999994,30.347000000000001,0.329166666666667
-89.467,30.38,0,-89.466999999999999,30.379999999999999,0.344583333333333
-89.457,30.414,0,-89.456999999999994,30.414000000000001,0.302916666666667
