X,Y,Z,lon,lat,ave_ppt_mm
-89.567,30.98,0,-89.566999999999993,30.980000000000000,1.839166666666667
-89.556,31.013,0,-89.555999999999997,31.013000000000002,1.850416666666667
-89.545,31.047,0,-89.545000000000002,31.047000000000001,1.574166666666667
-89.55,30.903,0,-89.549999999999997,30.902999999999999,2.115416666666667
-89.539,30.937,0,-89.539000000000001,30.937000000000001,2.058750000000000
-89.528,30.97,0,-89.528000000000006,30.969999999999999,1.901666666666667
-89.517,31.004,0,-89.516999999999996,31.004000000000001,1.865416666666667
-89.521,30.861,0,-89.521000000000001,30.861000000000001,2.355416666666667
-89.511,30.894,0,-89.510999999999996,30.893999999999998,2.162500000000000
-89.5,30.928,0,-89.500000000000000,30.928000000000001,2.084166666666667
-89.489,30.961,0,-89.489000000000004,30.960999999999999,1.886666666666667
-89.601,30.484,0,-89.600999999999999,30.484000000000002,2.428333333333333
-89.59,30.517,0,-89.590000000000003,30.516999999999999,2.506250000000000
-89.579,30.551,0,-89.578999999999994,30.550999999999998,2.537500000000000
-89.568,30.584,0,-89.567999999999998,30.584000000000000,2.552916666666667
-89.493,30.818,0,-89.492999999999995,30.818000000000001,2.277500000000000
-89.482,30.851,0,-89.481999999999999,30.850999999999999,2.240416666666667
-89.472,30.885,0,-89.471999999999994,30.885000000000002,2.084166666666667
-89.461,30.918,0,-89.460999999999999,30.917999999999999,2.214583333333334
-89.604,30.341,0,-89.603999999999999,30.341000000000001,2.761250000000000
-89.583,30.408,0,-89.582999999999998,30.408000000000001,2.569166666666667
-89.573,30.441,0,-89.572999999999993,30.440999999999999,2.454166666666667
-89.562,30.475,0,-89.561999999999998,30.475000000000001,2.485000000000000
-89.551,30.508,0,-89.551000000000002,30.507999999999999,2.516250000000000
-89.54,30.541,0,-89.540000000000006,30.541000000000000,2.605833333333334
-89.53,30.575,0,-89.530000000000001,30.574999999999999,2.568750000000000
-89.519,30.608,0,-89.519000000000005,30.608000000000001,2.568750000000000
-89.508,30.642,0,-89.507999999999996,30.641999999999999,2.563333333333334
-89.497,30.675,0,-89.497000000000000,30.675000000000001,2.824166666666667
-89.487,30.708,0,-89.486999999999995,30.707999999999998,2.797916666666667
-89.476,30.742,0,-89.475999999999999,30.742000000000001,2.662083333333333
-89.465,30.775,0,-89.465000000000003,30.774999999999999,2.480416666666667
-89.454,30.809,0,-89.453999999999994,30.809000000000001,2.386250000000000
