lon,lat,ave_ppt_mm
-91.552,31.669,1.4795833333333335
-91.543,31.703,1.5574999999999999
-91.551,31.524,1.9220833333333334
-91.541,31.558,1.745
-91.531,31.592,1.6204166666666666
-91.522,31.626,1.7766666666666666
-91.512,31.660,1.812916666666667
-91.503,31.694,1.9750000000000003
-91.549,31.380,1.6358333333333335
-91.539,31.414,1.6045833333333335
-91.530,31.448,1.7137499999999999
-91.520,31.482,1.8075
-91.511,31.516,2.01625
-91.501,31.550,2.0375
-91.491,31.584,1.9170833333333335
-91.482,31.618,2.057916666666667
-91.472,31.652,1.9900000000000002
-91.463,31.686,2.015833333333333
-91.547,31.237,1.2616666666666665
-91.538,31.270,1.3391666666666666
-91.528,31.304,1.500416666666667
-91.519,31.338,1.5995833333333334
-91.509,31.372,1.7245833333333336
-91.499,31.406,1.6825
-91.490,31.440,1.76625
-91.480,31.474,1.8179166666666668
-91.471,31.508,2.0108333333333337
-91.461,31.542,2.193333333333334
-91.452,31.576,1.9695833333333335
-91.442,31.610,1.8854166666666667
-91.432,31.644,1.9275000000000002
-91.423,31.678,1.86
-91.555,31.059,1.8500000000000003
-91.545,31.093,1.6520833333333336
-91.536,31.127,1.4591666666666667
-91.526,31.161,1.3337500000000002
-91.517,31.195,1.2870833333333334
-91.507,31.228,1.2554166666666666
-91.498,31.262,1.3033333333333332
-91.488,31.296,1.401666666666667
-91.479,31.330,1.5837500000000002
-91.469,31.364,1.7083333333333333
-91.460,31.398,1.9329166666666666
-91.450,31.432,1.83875
-91.441,31.466,1.7766666666666666
-91.431,31.500,2.026666666666667
-91.421,31.534,2.016666666666667
-91.412,31.568,2.0320833333333335
-91.402,31.602,2.1670833333333333
-91.392,31.636,2.13625
-91.383,31.670,2.094583333333334
-91.553,30.916,2.0945833333333335
-91.544,30.950,2.0783333333333336
-91.534,30.983,2.0783333333333336
-91.525,31.017,2.1149999999999998
-91.515,31.051,2.0625
-91.506,31.085,1.89125
-91.496,31.119,1.8029166666666672
-91.487,31.153,1.7558333333333336
-91.477,31.186,1.45375
-91.468,31.220,1.2766666666666666
-91.458,31.254,1.2504166666666665
-91.449,31.288,1.1933333333333334
-91.439,31.322,1.3029166666666667
-91.430,31.356,1.2974999999999999
-91.420,31.390,1.5158333333333334
-91.410,31.424,1.5733333333333335
-91.401,31.458,1.6983333333333335
-91.391,31.492,2.271666666666667
-91.381,31.526,2.3758333333333335
-91.372,31.560,2.3858333333333333
-91.362,31.594,2.4383333333333335
-91.352,31.628,2.401666666666667
-91.343,31.662,2.32875
-91.333,31.696,2.3600000000000003
-91.551,30.773,2.2712499999999998
-91.542,30.806,2.0945833333333335
-91.533,30.840,2.0316666666666667
-91.523,30.874,2.0475000000000003
-91.514,30.908,2.0425
-91.504,30.941,1.985
-91.495,30.975,1.9854166666666673
-91.485,31.009,2.0062500000000005
-91.476,31.043,2.07875
-91.466,31.077,2.0112500000000004
-91.457,31.111,2.005833333333334
-91.447,31.144,2.052916666666667
-91.438,31.178,1.9383333333333337
-91.428,31.212,1.839166666666667
-91.419,31.246,1.6933333333333334
-91.409,31.280,1.6045833333333333
-91.399,31.314,1.5004166666666665
-91.390,31.348,1.4170833333333335
-91.380,31.382,1.5683333333333334
-91.371,31.416,1.58875
-91.361,31.449,1.6045833333333333
-91.351,31.483,1.964166666666667
-91.342,31.517,2.1258333333333335
-91.332,31.551,2.1725
-91.322,31.585,2.2975
-91.313,31.619,2.21875
-91.303,31.653,2.4066666666666667
-91.293,31.687,2.36
-91.550,30.630,2.75625
-91.540,30.663,2.7137499999999997
-91.531,30.697,2.704166666666667
-91.522,30.731,2.4383333333333335
-91.512,30.765,2.360416666666667
-91.503,30.798,2.15625
-91.493,30.832,2.0533333333333337
-91.484,30.866,2.0574999999999997
-91.474,30.900,1.8708333333333336
-91.465,30.933,1.82875
-91.455,30.967,1.7562500000000003
-91.446,31.001,1.70375
-91.436,31.035,1.7720833333333337
-91.427,31.069,1.9170833333333335
-91.417,31.102,2.0004166666666667
-91.408,31.136,2.0375
-91.398,31.170,1.985
-91.389,31.204,1.901666666666667
-91.379,31.238,1.8862500000000002
-91.369,31.272,1.8758333333333335
-91.360,31.306,1.89125
-91.350,31.339,1.8137500000000004
-91.341,31.373,1.9641666666666666
-91.331,31.407,1.7875000000000003
