lon,lat,ave_ppt_mm
-91.552,31.669,1.7570833333333338
-91.543,31.703,1.7679166666666666
-91.551,31.524,1.835416666666667
-91.541,31.558,2.0225
-91.531,31.592,1.8091666666666668
-91.522,31.626,1.784166666666667
-91.512,31.660,1.7675000000000003
-91.503,31.694,1.7783333333333335
-91.549,31.380,2.039166666666667
-91.539,31.414,2.0287500000000005
-91.530,31.448,1.9970833333333335
-91.520,31.482,1.9766666666666668
-91.511,31.516,1.7833333333333332
-91.501,31.550,1.7625000000000002
-91.491,31.584,1.7525000000000002
-91.482,31.618,1.7620833333333337
-91.472,31.652,1.7783333333333335
-91.463,31.686,1.8250000000000002
-91.547,31.237,2.0645833333333337
-91.538,31.270,2.1012500000000007
-91.528,31.304,2.0908333333333338
-91.519,31.338,2.0908333333333338
-91.509,31.372,2.075416666666667
-91.499,31.406,2.0500000000000003
-91.490,31.440,2.0075000000000003
-91.480,31.474,1.9812500000000002
-91.471,31.508,1.9245833333333335
-91.461,31.542,1.7095833333333335
-91.452,31.576,1.8608333333333336
-91.442,31.610,1.7212500000000004
-91.432,31.644,1.7095833333333335
-91.423,31.678,1.7470833333333333
-91.555,31.059,1.7470833333333335
-91.545,31.093,1.8504166666666668
-91.536,31.127,1.9141666666666668
-91.526,31.161,2.1166666666666667
-91.517,31.195,2.1433333333333335
-91.507,31.228,2.210833333333334
-91.498,31.262,2.106666666666667
-91.488,31.296,2.179583333333334
-91.479,31.330,2.1175
-91.469,31.364,2.085833333333334
-91.460,31.398,2.080416666666667
-91.450,31.432,2.085833333333334
-91.441,31.466,2.0387500000000003
-91.431,31.500,1.9970833333333335
-91.421,31.534,1.9395833333333332
-91.412,31.568,1.9187500000000002
-91.402,31.602,1.7258333333333338
-91.392,31.636,1.7204166666666667
-91.383,31.670,1.7720833333333335
-91.553,30.916,1.7833333333333334
-91.544,30.950,1.81375
-91.534,30.983,1.8412500000000003
-91.525,31.017,1.8250000000000004
-91.515,31.051,1.7983333333333331
-91.506,31.085,1.7841666666666667
-91.496,31.119,2.0229166666666667
-91.487,31.153,2.017916666666667
-91.477,31.186,2.132916666666667
-91.468,31.220,2.2108333333333334
-91.458,31.254,2.2158333333333338
-91.449,31.288,2.3620833333333335
-91.439,31.322,2.1745833333333335
-91.430,31.356,2.19
-91.420,31.390,2.2262500000000003
-91.410,31.424,2.220416666666667
-91.401,31.458,2.1945833333333336
-91.391,31.492,2.0591666666666666
-91.381,31.526,2.0450000000000004
-91.372,31.560,2.0083333333333333
-91.362,31.594,1.8250000000000002
-91.352,31.628,1.79375
-91.343,31.662,1.7933333333333337
-91.333,31.696,1.8879166666666667
-91.551,30.773,1.8450000000000004
-91.542,30.806,1.79875
-91.533,30.840,1.7458333333333333
-91.523,30.874,1.7670833333333336
-91.514,30.908,1.735
-91.504,30.941,1.74625
-91.495,30.975,1.772916666666667
-91.485,31.009,1.8412500000000003
-91.476,31.043,1.8395833333333333
-91.466,31.077,1.8041666666666671
-91.457,31.111,1.7462499999999999
-91.447,31.144,2.012916666666667
-91.438,31.178,2.0808333333333335
-91.428,31.212,2.1687500000000006
-91.419,31.246,2.184166666666667
-91.409,31.280,2.1895833333333337
-91.399,31.314,2.351666666666667
-91.390,31.348,2.1845833333333338
-91.380,31.382,2.2208333333333337
-91.371,31.416,2.236666666666667
-91.361,31.449,2.2104166666666667
-91.351,31.483,2.2370833333333335
-91.342,31.517,2.221666666666667
-91.332,31.551,2.106666666666667
-91.322,31.585,1.9075
-91.313,31.619,1.8712499999999999
-91.303,31.653,1.8237499999999998
-91.293,31.687,1.8558333333333337
-91.550,30.630,1.9450000000000003
-91.540,30.663,1.9287500000000002
-91.531,30.697,1.9070833333333332
-91.522,30.731,1.8812500000000003
-91.512,30.765,1.8345833333333335
-91.503,30.798,1.835416666666667
-91.493,30.832,1.782916666666667
-91.484,30.866,1.7525000000000004
-91.474,30.900,1.7612500000000002
-91.465,30.933,1.7354166666666668
-91.455,30.967,1.6733333333333338
-91.446,31.001,1.7575000000000003
-91.436,31.035,1.792916666666667
-91.427,31.069,1.825
-91.417,31.102,1.7666666666666664
-91.408,31.136,1.970416666666667
-91.398,31.170,2.142916666666667
-91.389,31.204,2.1529166666666666
-91.379,31.238,2.33625
-91.369,31.272,2.3416666666666672
-91.360,31.306,2.4187500000000006
-91.350,31.339,2.5179166666666672
-91.341,31.373,2.523333333333334
-91.331,31.407,2.3883333333333336
-91.321,31.441,2.4033333333333338
-91.311,31.475,2.4195833333333336
-91.302,31.509,2.2837500000000004
-91.292,31.543,2.137916666666667
-91.282,31.577,2.095416666666667
-91.273,31.611,2.1012500000000007
-91.263,31.645,2.0850000000000004
-91.253,31.679,2.2308333333333334
-91.548,30.487,2.0425
-91.539,30.521,1.9808333333333337
-91.529,30.554,1.9183333333333337
-91.520,30.588,1.901666666666667
-91.511,30.622,1.917916666666667
-91.501,30.655,1.9333333333333336
-91.492,30.689,1.9183333333333337
-91.482,30.723,1.9033333333333335
-91.473,30.756,1.8658333333333335
-91.463,30.790,1.84
-91.454,30.824,1.8037500000000002
-91.444,30.858,1.7566666666666668
-91.435,30.891,1.7733333333333334
-91.425,30.925,1.7733333333333334
-91.416,30.959,1.72625
-91.406,30.993,1.6683333333333337
-91.397,31.027,1.7154166666666668
-91.387,31.060,1.7466666666666664
-91.378,31.094,1.7625000000000002
-91.368,31.128,1.7612499999999998
-91.359,31.162,1.9345833333333335
-91.349,31.196,2.21125
-91.339,31.230,2.351666666666667
-91.330,31.263,2.3562500000000006
-91.320,31.297,2.3675
-91.310,31.331,2.507916666666667
-91.301,31.365,2.5125000000000006
-91.291,31.399,2.518333333333334
-91.281,31.433,2.52375
-91.272,31.467,2.5395833333333337
-91.262,31.501,2.5345833333333334
-91.252,31.535,2.2883333333333336
-91.242,31.569,2.33625
-91.233,31.603,2.325416666666667
-91.223,31.637,2.16375
-91.213,31.671,2.575416666666667
-91.546,30.344,2.3662500000000004
-91.537,30.378,2.3454166666666674
-91.528,30.412,2.2929166666666667
-91.518,30.445,2.1575
-91.509,30.479,2.0741666666666667
-91.500,30.513,2.0429166666666667
-91.490,30.546,1.9075
-91.481,30.580,1.8762500000000004
-91.471,30.614,1.855416666666667
-91.462,30.647,1.8979166666666671
-91.453,30.681,1.9287500000000006
-91.443,30.715,1.9241666666666672
-91.434,30.748,1.9087500000000006
-91.424,30.782,1.8300000000000003
-91.415,30.816,1.7716666666666667
-91.405,30.850,1.7570833333333333
-91.396,30.883,1.7720833333333335
-91.386,30.917,1.751666666666667
-91.377,30.951,1.7312500000000002
-91.367,30.985,1.6733333333333336
-91.357,31.018,1.6637500000000003
-91.348,31.052,1.715416666666667
-91.338,31.086,1.767916666666667
-91.329,31.120,1.7779166666666668
-91.319,31.154,1.8191666666666668
-91.309,31.187,1.9658333333333335
-91.300,31.221,2.3666666666666667
-91.290,31.255,2.3720833333333338
-91.280,31.289,2.4033333333333338
-91.271,31.323,2.4245833333333335
-91.261,31.357,2.5020833333333337
-91.251,31.391,2.517916666666667
-91.242,31.425,2.5075000000000003
-91.232,31.459,2.554583333333334
-91.222,31.493,2.570416666666667
-91.212,31.526,2.325
-91.203,31.560,2.356666666666667
-91.193,31.594,2.3408333333333338
-91.183,31.628,2.492083333333334
-91.173,31.662,2.7416666666666667
-91.163,31.696,2.7420833333333334
-91.554,30.169,2.23
-91.545,30.202,2.329583333333334
-91.535,30.236,2.3816666666666673
-91.526,30.269,2.31875
-91.517,30.303,2.345
-91.507,30.336,2.3441666666666667
-91.498,30.370,2.31875
-91.489,30.404,2.26625
-91.479,30.437,2.1787500000000004
-91.470,30.471,2.0633333333333335
-91.461,30.504,2.0325
-91.451,30.538,2.0120833333333334
-91.442,30.572,1.9287500000000002
-91.432,30.605,1.8970833333333337
-91.423,30.639,1.8604166666666668
-91.413,30.673,1.8295833333333336
-91.404,30.706,1.872083333333334
-91.394,30.740,1.8512500000000005
-91.385,30.774,1.8141666666666671
-91.375,30.808,1.7937500000000004
-91.366,30.841,1.7716666666666667
-91.356,30.875,1.7262500000000003
-91.347,30.909,1.7358333333333336
-91.337,30.943,1.7575
-91.328,30.976,1.6783333333333335
-91.318,31.010,1.6575000000000004
-91.308,31.044,1.6633333333333333
-91.299,31.078,1.7099999999999997
-91.289,31.112,1.7575
-91.280,31.145,1.8100000000000003
-91.270,31.179,1.7991666666666666
-91.260,31.213,2.017083333333334
-91.251,31.247,2.2837500000000004
-91.241,31.281,2.314166666666667
-91.231,31.315,2.4187500000000006
-91.221,31.349,2.6275000000000004
-91.212,31.382,2.5437500000000006
-91.202,31.416,2.5491666666666672
-91.192,31.450,2.5758333333333336
-91.182,31.484,2.570416666666667
-91.173,31.518,2.4083333333333337
-91.163,31.552,2.414166666666667
-91.153,31.586,2.559166666666667
-91.143,31.620,2.59125
-91.133,31.654,2.580416666666667
-91.123,31.688,2.992083333333333
-91.552,30.026,2.2458333333333336
-91.543,30.060,2.1679166666666667
-91.534,30.093,2.141666666666667
-91.524,30.127,2.1308333333333334
-91.515,30.160,2.115416666666667
-91.506,30.194,2.182916666666667
-91.496,30.228,2.277916666666667
-91.487,30.261,2.3250000000000006
-91.478,30.295,2.3295833333333333
-91.468,30.328,2.329166666666667
