lon,lat,ave_ppt_mm
-91.552,31.669,0.3133333333333333
-91.543,31.703,0.24541666666666664
-91.551,31.524,0.4958333333333334
-91.541,31.558,0.7774999999999999
-91.531,31.592,0.63125
-91.522,31.626,0.4745833333333333
-91.512,31.660,0.33416666666666667
-91.503,31.694,0.24583333333333332
-91.549,31.380,0.4695833333333333
-91.539,31.414,0.5116666666666666
-91.530,31.448,0.43291666666666667
-91.520,31.482,0.4070833333333333
-91.511,31.516,0.3804166666666666
-91.501,31.550,0.47
-91.491,31.584,0.5112500000000001
-91.482,31.618,0.4749999999999999
-91.472,31.652,0.35000000000000003
-91.463,31.686,0.2866666666666667
-91.547,31.237,0.3233333333333333
-91.538,31.270,0.2925
-91.528,31.304,0.30791666666666667
-91.519,31.338,0.4025
-91.509,31.372,0.44875000000000004
-91.499,31.406,0.44333333333333336
-91.490,31.440,0.40166666666666667
-91.480,31.474,0.32916666666666666
-91.471,31.508,0.32916666666666666
-91.461,31.542,0.34
-91.452,31.576,0.41291666666666677
-91.442,31.610,0.39166666666666666
-91.432,31.644,0.31375
-91.423,31.678,0.24124999999999996
-91.555,31.059,0.18333333333333332
-91.545,31.093,0.15666666666666665
-91.536,31.127,0.18791666666666665
-91.526,31.161,0.24541666666666664
-91.517,31.195,0.2608333333333333
-91.507,31.228,0.2925
-91.498,31.262,0.29291666666666666
-91.488,31.296,0.3441666666666667
-91.479,31.330,0.2975
-91.469,31.364,0.345
-91.460,31.398,0.37041666666666667
-91.450,31.432,0.30291666666666667
-91.441,31.466,0.26166666666666666
-91.431,31.500,0.31875000000000003
-91.421,31.534,0.3345833333333333
-91.412,31.568,0.31916666666666665
-91.402,31.602,0.24541666666666664
-91.392,31.636,0.14666666666666667
-91.383,31.670,0.12
-91.553,30.916,0.16708333333333333
-91.544,30.950,0.13083333333333333
-91.534,30.983,0.13041666666666665
-91.525,31.017,0.15708333333333332
-91.515,31.051,0.1775
-91.506,31.085,0.17791666666666664
-91.496,31.119,0.20375
-91.487,31.153,0.19874999999999998
-91.477,31.186,0.20416666666666664
-91.468,31.220,0.235
-91.458,31.254,0.4233333333333333
-91.449,31.288,0.42250000000000004
-91.439,31.322,0.3758333333333334
-91.430,31.356,0.32375
-91.420,31.390,0.2975
-91.410,31.424,0.29791666666666666
-91.401,31.458,0.3033333333333333
