lon,lat,ave_ppt_mm
-91.552,31.669,0.45875000000000005
-91.543,31.703,0.45375000000000004
-91.551,31.524,0.42250000000000004
-91.541,31.558,0.4170833333333333
-91.531,31.592,0.41208333333333336
-91.522,31.626,0.41250000000000003
-91.512,31.660,0.4279166666666667
-91.503,31.694,0.41750000000000004
-91.549,31.380,0.5420833333333334
-91.539,31.414,0.51625
-91.530,31.448,0.5058333333333334
-91.520,31.482,0.4691666666666667
-91.511,31.516,0.44875000000000004
-91.501,31.550,0.43291666666666667
-91.491,31.584,0.39166666666666666
-91.482,31.618,0.3858333333333333
-91.472,31.652,0.365
-91.463,31.686,0.38625000000000004
-91.547,31.237,0.6770833333333334
-91.538,31.270,0.6566666666666666
-91.528,31.304,0.6149999999999999
-91.519,31.338,0.57875
-91.509,31.372,0.5420833333333334
-91.499,31.406,0.5370833333333332
-91.490,31.440,0.52125
-91.480,31.474,0.49541666666666667
-91.471,31.508,0.4904166666666667
-91.461,31.542,0.46916666666666673
-91.452,31.576,0.4279166666666667
-91.442,31.610,0.39125000000000004
-91.432,31.644,0.3654166666666667
-91.423,31.678,0.355
-91.555,31.059,0.5004166666666666
-91.545,31.093,0.58375
-91.536,31.127,0.64125
-91.526,31.161,0.6720833333333333
-91.517,31.195,0.6933333333333334
-91.507,31.228,0.6879166666666667
-91.498,31.262,0.6516666666666667
-91.488,31.296,0.5633333333333334
-91.479,31.330,0.5416666666666666
-91.469,31.364,0.5054166666666666
-91.460,31.398,0.5370833333333332
-91.450,31.432,0.5320833333333334
-91.441,31.466,0.5058333333333334
-91.431,31.500,0.5104166666666666
-91.421,31.534,0.48000000000000004
-91.412,31.568,0.43291666666666667
-91.402,31.602,0.4066666666666667
-91.392,31.636,0.38083333333333336
-91.383,31.670,0.365
-91.553,30.916,0.3595833333333333
-91.544,30.950,0.43249999999999994
-91.534,30.983,0.46916666666666673
-91.525,31.017,0.45875
-91.515,31.051,0.46916666666666673
-91.506,31.085,0.45875
-91.496,31.119,0.5366666666666666
-91.487,31.153,0.6670833333333333
-91.477,31.186,0.6879166666666667
-91.468,31.220,0.6408333333333334
-91.458,31.254,0.6308333333333334
-91.449,31.288,0.5370833333333334
-91.439,31.322,0.47458333333333336
-91.430,31.356,0.4849999999999999
-91.420,31.390,0.49499999999999994
-91.410,31.424,0.45875
-91.401,31.458,0.4795833333333333
-91.391,31.492,0.48541666666666666
-91.381,31.526,0.46416666666666667
-91.372,31.560,0.44333333333333336
-91.362,31.594,0.39625
-91.352,31.628,0.3858333333333333
-91.343,31.662,0.38625000000000004
-91.333,31.696,0.3595833333333333
-91.551,30.773,0.2658333333333333
-91.542,30.806,0.2658333333333333
-91.533,30.840,0.2970833333333333
-91.523,30.874,0.33916666666666667
-91.514,30.908,0.41208333333333336
-91.504,30.941,0.3754166666666667
-91.495,30.975,0.41708333333333325
-91.485,31.009,0.46916666666666673
-91.476,31.043,0.4850000000000001
-91.466,31.077,0.4591666666666667
-91.457,31.111,0.45875
-91.447,31.144,0.5366666666666666
-91.438,31.178,0.6879166666666666
-91.428,31.212,0.6304166666666667
-91.419,31.246,0.5837499999999999
-91.409,31.280,0.5524999999999999
-91.399,31.314,0.48500000000000004
-91.390,31.348,0.45333333333333337
-91.380,31.382,0.44333333333333336
-91.371,31.416,0.4275
-91.361,31.449,0.4429166666666666
-91.351,31.483,0.43291666666666667
-91.342,31.517,0.4645833333333334
-91.332,31.551,0.43375
-91.322,31.585,0.39125000000000004
-91.313,31.619,0.365
-91.303,31.653,0.37083333333333335
-91.293,31.687,0.37625000000000003
-91.550,30.630,0.3499999999999999
-91.540,30.663,0.33916666666666667
-91.531,30.697,0.37625000000000003
-91.522,30.731,0.32875
-91.512,30.765,0.3075
-91.503,30.798,0.27666666666666667
-91.493,30.832,0.27666666666666667
-91.484,30.866,0.2970833333333333
-91.474,30.900,0.39666666666666667
-91.465,30.933,0.43249999999999994
-91.455,30.967,0.4066666666666667
-91.446,31.001,0.42250000000000004
-91.436,31.035,0.4170833333333333
-91.427,31.069,0.46916666666666673
-91.417,31.102,0.4745833333333334
-91.408,31.136,0.48500000000000004
-91.398,31.170,0.49541666666666667
-91.389,31.204,0.52125
-91.379,31.238,0.5158333333333333
-91.369,31.272,0.5420833333333333
-91.360,31.306,0.53125
-91.350,31.339,0.5004166666666666
-91.341,31.373,0.44875
-91.331,31.407,0.42250000000000004
-91.321,31.441,0.38625000000000004
-91.311,31.475,0.4066666666666667
-91.302,31.509,0.43291666666666667
-91.292,31.543,0.40166666666666667
-91.282,31.577,0.38625000000000004
-91.273,31.611,0.36541666666666667
-91.263,31.645,0.365
-91.253,31.679,0.3441666666666667
-91.548,30.487,0.3658333333333334
-91.539,30.521,0.3233333333333333
-91.529,30.554,0.33375
-91.520,30.588,0.32875
-91.511,30.622,0.3395833333333333
-91.501,30.655,0.34958333333333336
-91.492,30.689,0.39125000000000004
-91.482,30.723,0.3916666666666668
-91.473,30.756,0.3499999999999999
-91.463,30.790,0.3129166666666667
-91.454,30.824,0.3133333333333333
-91.444,30.858,0.3025
-91.435,30.891,0.3129166666666667
-91.425,30.925,0.3804166666666667
-91.416,30.959,0.39125000000000004
-91.406,30.993,0.38083333333333336
-91.397,31.027,0.40166666666666667
-91.387,31.060,0.4279166666666667
-91.378,31.094,0.49
-91.368,31.128,0.4845833333333333
-91.359,31.162,0.46916666666666657
-91.349,31.196,0.4483333333333334
-91.339,31.230,0.4745833333333333
-91.330,31.263,0.47458333333333336
-91.320,31.297,0.48500000000000004
-91.310,31.331,0.5158333333333333
-91.301,31.365,0.49
-91.291,31.399,0.4533333333333333
-91.281,31.433,0.4116666666666666
-91.272,31.467,0.40166666666666667
-91.262,31.501,0.37041666666666667
-91.252,31.535,0.3654166666666667
-91.242,31.569,0.3445833333333333
-91.233,31.603,0.3233333333333333
-91.223,31.637,0.33916666666666667
-91.213,31.671,0.3395833333333333
-91.546,30.344,0.5316666666666666
-91.537,30.378,0.5945833333333334
-91.528,30.412,0.5633333333333335
-91.518,30.445,0.52125
-91.509,30.479,0.45875
-91.500,30.513,0.4279166666666667
-91.490,30.546,0.3758333333333334
-91.481,30.580,0.3545833333333333
-91.471,30.614,0.365
-91.462,30.647,0.36041666666666666
-91.453,30.681,0.39125000000000004
-91.443,30.715,0.39625
-91.434,30.748,0.3545833333333333
-91.424,30.782,0.32875
-91.415,30.816,0.33375
-91.405,30.850,0.32875
-91.396,30.883,0.35500000000000004
-91.386,30.917,0.34958333333333336
-91.377,30.951,0.4020833333333334
-91.367,30.985,0.4279166666666667
-91.357,31.018,0.4116666666666667
-91.348,31.052,0.41208333333333336
-91.338,31.086,0.4229166666666668
-91.329,31.120,0.4695833333333334
-91.319,31.154,0.4537500000000001
-91.309,31.187,0.4275
-91.300,31.221,0.4220833333333333
-91.290,31.255,0.42750000000000005
-91.280,31.289,0.42250000000000004
-91.271,31.323,0.43791666666666673
-91.261,31.357,0.44333333333333336
-91.251,31.391,0.4333333333333334
-91.242,31.425,0.41208333333333336
-91.232,31.459,0.40166666666666667
-91.222,31.493,0.37041666666666667
-91.212,31.526,0.32875
-91.203,31.560,0.29791666666666666
-91.193,31.594,0.3025
-91.183,31.628,0.3179166666666667
-91.173,31.662,0.33916666666666667
-91.163,31.696,0.32375
-91.554,30.169,0.7712499999999999
-91.545,30.202,0.9904166666666668
-91.535,30.236,0.7870833333333334
-91.526,30.269,0.6929166666666666
-91.517,30.303,0.6991666666666667
-91.507,30.336,0.6208333333333335
-91.498,30.370,0.5891666666666667
-91.489,30.404,0.6362500000000001
-91.479,30.437,0.6050000000000001
-91.470,30.471,0.6154166666666667
-91.461,30.504,0.5733333333333334
-91.451,30.538,0.49583333333333335
-91.442,30.572,0.43875000000000014
-91.432,30.605,0.43291666666666667
-91.423,30.639,0.4383333333333334
-91.413,30.673,0.39083333333333337
-91.404,30.706,0.41750000000000004
-91.394,30.740,0.4220833333333333
-91.385,30.774,0.3754166666666667
-91.375,30.808,0.36500000000000005
-91.366,30.841,0.3491666666666666
-91.356,30.875,0.36000000000000004
-91.347,30.909,0.3758333333333334
-91.337,30.943,0.38083333333333336
-91.328,30.976,0.42208333333333337
-91.318,31.010,0.42250000000000004
-91.308,31.044,0.42250000000000004
-91.299,31.078,0.40124999999999994
-91.289,31.112,0.40166666666666667
-91.280,31.145,0.4483333333333334
-91.270,31.179,0.4379166666666667
-91.260,31.213,0.40666666666666657
-91.251,31.247,0.36999999999999994
