lon,lat,ave_ppt_mm
-91.552,31.669,0.7816666666666666
-91.543,31.703,0.8079166666666665
-91.551,31.524,1.4379166666666665
-91.541,31.558,1.24
-91.531,31.592,0.8920833333333332
-91.522,31.626,0.88625
-91.512,31.660,0.8029166666666666
-91.503,31.694,0.7766666666666665
-91.549,31.380,1.4858333333333338
-91.539,31.414,1.5583333333333336
-91.530,31.448,1.2458333333333331
-91.520,31.482,1.1049999999999998
-91.511,31.516,1.2766666666666666
-91.501,31.550,1.1362499999999998
-91.491,31.584,1.1724999999999999
-91.482,31.618,0.9383333333333334
-91.472,31.652,0.7716666666666665
-91.463,31.686,0.8395833333333332
-91.547,31.237,1.855833333333334
-91.538,31.270,1.7666666666666668
-91.528,31.304,1.6520833333333336
-91.519,31.338,1.6312500000000003
-91.509,31.372,1.6833333333333336
-91.499,31.406,1.7037500000000003
-91.490,31.440,1.43875
-91.480,31.474,1.2404166666666667
-91.471,31.508,1.2716666666666665
-91.461,31.542,1.2304166666666665
-91.452,31.576,1.2091666666666665
-91.442,31.610,1.0008333333333332
-91.432,31.644,1.0270833333333333
-91.423,31.678,0.9074999999999999
-91.555,31.059,1.9233333333333338
-91.545,31.093,1.9750000000000003
-91.536,31.127,1.8966666666666672
-91.526,31.161,1.7145833333333336
-91.517,31.195,1.4800000000000002
-91.507,31.228,1.615
-91.498,31.262,1.5374999999999999
-91.488,31.296,1.4858333333333331
-91.479,31.330,1.4854166666666668
-91.469,31.364,1.2666666666666666
-91.460,31.398,1.4595833333333335
-91.450,31.432,1.4795833333333333
-91.441,31.466,1.2612499999999998
-91.431,31.500,1.6358333333333333
-91.421,31.534,1.4483333333333333
-91.412,31.568,1.1775
-91.402,31.602,1.0370833333333334
-91.392,31.636,1.0216666666666667
-91.383,31.670,1.0166666666666666
-91.553,30.916,2.5054166666666666
-91.544,30.950,2.4283333333333337
-91.534,30.983,2.3083333333333336
-91.525,31.017,2.245416666666667
-91.515,31.051,2.2925
-91.506,31.085,2.26625
-91.496,31.119,2.2462500000000003
-91.487,31.153,2.084166666666667
-91.477,31.186,1.9958333333333336
-91.468,31.220,1.881666666666667
-91.458,31.254,1.6104166666666668
-91.449,31.288,1.600416666666667
-91.439,31.322,1.4170833333333333
-91.430,31.356,1.370833333333333
-91.420,31.390,1.3079166666666666
-91.410,31.424,1.2974999999999999
-91.401,31.458,1.3495833333333334
-91.391,31.492,1.3595833333333331
-91.381,31.526,1.1466666666666665
-91.372,31.560,1.1312499999999999
-91.362,31.594,0.9225
-91.352,31.628,1.0216666666666667
-91.343,31.662,1.0741666666666665
-91.333,31.696,1.0529166666666667
-91.551,30.773,2.183333333333334
-91.542,30.806,2.011666666666667
-91.533,30.840,2.026666666666667
-91.523,30.874,2.089583333333334
-91.514,30.908,2.23
-91.504,30.941,2.177916666666667
-91.495,30.975,2.209166666666667
-91.485,31.009,2.35
-91.476,31.043,2.365
-91.466,31.077,2.240416666666667
-91.457,31.111,2.475
-91.447,31.144,2.1783333333333337
-91.438,31.178,2.2408333333333337
-91.428,31.212,2.1783333333333337
-91.419,31.246,1.9487500000000002
-91.409,31.280,1.7825000000000006
-91.399,31.314,1.6883333333333337
-91.390,31.348,1.4854166666666668
-91.380,31.382,1.5841666666666667
-91.371,31.416,1.485
-91.361,31.449,1.4225
-91.351,31.483,1.7095833333333337
-91.342,31.517,1.3495833333333334
-91.332,31.551,1.1570833333333332
-91.322,31.585,0.9649999999999999
-91.313,31.619,0.9591666666666666
-91.303,31.653,1.0475
-91.293,31.687,1.1837499999999999
-91.550,30.630,2.4862500000000005
-91.540,30.663,2.4233333333333342
-91.531,30.697,2.6575000000000006
-91.522,30.731,2.589583333333334
-91.512,30.765,2.6058333333333343
-91.503,30.798,2.43875
-91.493,30.832,2.298333333333334
-91.484,30.866,2.1258333333333335
-91.474,30.900,2.0062500000000005
-91.465,30.933,1.7458333333333336
-91.455,30.967,1.912916666666667
-91.446,31.001,2.2612500000000004
-91.436,31.035,2.2250000000000005
-91.427,31.069,2.20375
-91.417,31.102,2.1525000000000003
-91.408,31.136,2.0270833333333336
-91.398,31.170,2.1675
-91.389,31.204,2.1158333333333337
-91.379,31.238,1.9383333333333337
-91.369,31.272,1.886666666666667
-91.360,31.306,1.5791666666666673
-91.350,31.339,1.6212500000000007
-91.341,31.373,1.6000000000000003
-91.331,31.407,1.5320833333333337
-91.321,31.441,1.62625
-91.311,31.475,1.6675000000000002
-91.302,31.509,1.6000000000000003
-91.292,31.543,1.2241666666666666
-91.282,31.577,1.0004166666666667
-91.273,31.611,0.9950000000000001
-91.263,31.645,1.1154166666666667
-91.253,31.679,1.1779166666666667
